Application,Application Version,Category,Primary Location,Line Number,Full Filename,Criticality,Filterset,Folder,Is Reviewed,Tagged,Primary Tag Auto Applied,Bug URL,Has Correlated Issues,Has Comments,Scan Status,Found Date,Removed Date,Is Removed,Is Suppressed,Is Hidden,Analysis Type,Analysis Category,Analyzer,Primary Rule ID,Instance ID,Impact,Likelihood,Severity,Confidence,Kingdom,Fortify Category,CWE,DISA CCI 2,FISMA,GDPR,MISRA C 2012,MISRA C++ 2008,NIST SP 800-53 Rev.4,OWASP Mobile 2014,OWASP Top 10 2004,OWASP Top 10 2007,OWASP Top 10 2010,OWASP Top 10 2013,OWASP Top 10 2017,PCI 1.1,PCI 1.2,PCI 2.0,PCI 3.0,PCI 3.1,PCI 3.2,PCI 3.2.1,PCI SSF 1.0,SANS Top 25 2009,SANS Top 25 2010,SANS Top 25 2011,STIG 3.1,STIG 3.10,STIG 3.4,STIG 3.5,STIG 3.6,STIG 3.7,STIG 3.9,STIG 4.1,STIG 4.2,STIG 4.3,STIG 4.4,STIG 4.5,STIG 4.6,STIG 4.7,STIG 4.8,STIG 4.9,WASC 2.00,WASC 24 + 2
wiecreated,v1,Privacy Violation: Autocomplete,online-banking.html,0,/online-banking.html,Low,Security Auditor View,Low,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Best Practices,47a30c5d-8d23-c4d6-32fa-538b1b0b50cc,0.5,0.5,0.0,5.0,Security Features,Privacy Violation: Autocomplete,CWE ID 525,"CCI-000196,CCI-002361",,Privacy Violation,,,AC-4 Information Flow Enforcement (P1),M4 Unintended Data Leakage,,A6 Information Leakage and Improper Error Handling,,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,"Control Objective 3.3 - Sensitive Data Retention,Control Objective 6.1 - Sensitive Data Protection",,,,"APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Web Server Misconfiguration: Unprotected File,README.txt,0,/README.txt,Low,Security Auditor View,Low,false,,,,false,false,REINTRODUCED,Mon Nov 11 15:23:16 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,ca9689d0-173a-6fd7-2320-eee63d76dae2,1.0,1.0,1.0,5.0,Environment,Web Server Misconfiguration: Unprotected File,CWE ID 863,"CCI-000213,CCI-002165",AC,Access Violation,,,AC-3 Access Enforcement (P1),M5 Poor Authorization and Authentication,A2 Broken Access Control,A10 Failure to Restrict URL Access,A8 Failure to Restrict URL Access,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.2,Requirement 6.5.10,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Control Objective 5.4 - Authentication and Access Control,,Porous Defenses - CWE ID 285,Porous Defenses - CWE ID 863,,,APP3480.1 CAT I,APP3480.1 CAT I,APP3480.1 CAT I,APP3480.1 CAT I,,"APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II",Server Misconfiguration (WASC-14),Insufficient Authorization
wiecreated,v1,Cross-Site Scripting: Reflected,search.html,0,/search.html,Critical,Security Auditor View,Critical,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,8762ce36-840b-780e-6f55-a139a94c1262,5.0,5.0,4.0,5.0,Input Validation and Representation,Cross-Site Scripting: Reflected,"CWE ID 79,CWE ID 80","CCI-001310,CCI-002754",SI,Indirect Access to Sensitive Data,,,SI-10 Information Input Validation (P1),M7 Client Side Injection,A4 Cross Site Scripting,A1 Cross Site Scripting (XSS),A2 Cross-Site Scripting (XSS),A3 Cross-Site Scripting (XSS),A7 Cross-Site Scripting (XSS),Requirement 6.5.4,"Requirement 6.3.1.1,Requirement 6.5.1",Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Control Objective 4.2 - Critical Asset Protection,Insecure Interaction - CWE ID 079,Insecure Interaction - CWE ID 079,Insecure Interaction - CWE ID 079,"APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I",Cross-Site Scripting (WASC-08),Cross-Site Scripting
wiecreated,v1,Privacy Violation: Autocomplete,search.html,0,/search.html,Low,Security Auditor View,Low,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Best Practices,27934c49-4a64-a310-6608-7f554a03f660,0.5,0.5,0.0,5.0,Security Features,Privacy Violation: Autocomplete,CWE ID 525,"CCI-000196,CCI-002361",,Privacy Violation,,,AC-4 Information Flow Enforcement (P1),M4 Unintended Data Leakage,,A6 Information Leakage and Improper Error Handling,,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,"Control Objective 3.3 - Sensitive Data Retention,Control Objective 6.1 - Sensitive Data Protection",,,,"APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Privacy Violation: HTTP GET,security-check.html,0,/auth/security-check.html,Medium,Security Auditor View,Medium,false,,,,false,false,UPDATED,Fri Dec 13 16:16:18 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,6cdd5aed-bc7e-0900-0c77-6c8775206b2f,2.0,3.0,2.0,5.0,Security Features,Privacy Violation: HTTP GET,CWE ID 359,"CCI-000196,CCI-000197,CCI-002361",,Privacy Violation,,,AC-4 Information Flow Enforcement (P1),M2 Insecure Data Storage,,A6 Information Leakage and Improper Error Handling,,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,"Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 8.4","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.6,Requirement 8.4","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.5,Requirement 8.4","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Control Objective 3.3 - Sensitive Data Retention,Control Objective 6.1 - Sensitive Data Protection,Control Objective 7 - Use of Cryptography",,,,"APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Privacy Violation: HTTP GET,security-check.html,0,/auth/security-check.html,Low,Security Auditor View,Low,false,,,,false,false,UPDATED,Fri Dec 13 16:16:18 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Best Practices,05411b0f-b23a-5e3b-2427-c9b876191f16,0.5,0.5,0.0,5.0,Security Features,Privacy Violation: HTTP GET,CWE ID 359,"CCI-000196,CCI-000197,CCI-002361",,Privacy Violation,,,AC-4 Information Flow Enforcement (P1),M2 Insecure Data Storage,,A6 Information Leakage and Improper Error Handling,,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,"Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 8.4","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.6,Requirement 8.4","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.5,Requirement 8.4","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Control Objective 3.3 - Sensitive Data Retention,Control Objective 6.1 - Sensitive Data Protection,Control Objective 7 - Use of Cryptography",,,,"APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Cross-Site Scripting: Reflected,sendFeedback.html,0,/sendFeedback.html,Critical,Security Auditor View,Critical,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,1ec94650-e557-3d4a-de80-2a884c520953,5.0,5.0,4.0,5.0,Input Validation and Representation,Cross-Site Scripting: Reflected,"CWE ID 79,CWE ID 80","CCI-001310,CCI-002754",SI,Indirect Access to Sensitive Data,,,SI-10 Information Input Validation (P1),M7 Client Side Injection,A4 Cross Site Scripting,A1 Cross Site Scripting (XSS),A2 Cross-Site Scripting (XSS),A3 Cross-Site Scripting (XSS),A7 Cross-Site Scripting (XSS),Requirement 6.5.4,"Requirement 6.3.1.1,Requirement 6.5.1",Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Control Objective 4.2 - Critical Asset Protection,Insecure Interaction - CWE ID 079,Insecure Interaction - CWE ID 079,Insecure Interaction - CWE ID 079,"APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I",Cross-Site Scripting (WASC-08),Cross-Site Scripting
wiecreated,v1,Privacy Violation: Autocomplete,sendFeedback.html,0,/sendFeedback.html,Low,Security Auditor View,Low,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Best Practices,fcf38e67-ee01-0cb1-d533-110bc20ff394,0.5,0.5,0.0,5.0,Security Features,Privacy Violation: Autocomplete,CWE ID 525,"CCI-000196,CCI-002361",,Privacy Violation,,,AC-4 Information Flow Enforcement (P1),M4 Unintended Data Leakage,,A6 Information Leakage and Improper Error Handling,,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,"Control Objective 3.3 - Sensitive Data Retention,Control Objective 6.1 - Sensitive Data Protection",,,,"APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Web Server Misconfiguration: Unprotected File,server-status,0,/server-status,High,Security Auditor View,High,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,3add0e63-4b66-2512-b76c-52ba40866812,3.0,2.0,3.0,5.0,Environment,Web Server Misconfiguration: Unprotected File,CWE ID 863,"CCI-000213,CCI-002165",AC,Access Violation,,,AC-3 Access Enforcement (P1),M5 Poor Authorization and Authentication,A2 Broken Access Control,A10 Failure to Restrict URL Access,A8 Failure to Restrict URL Access,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.2,Requirement 6.5.10,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Control Objective 5.4 - Authentication and Access Control,,Porous Defenses - CWE ID 285,Porous Defenses - CWE ID 863,,,APP3480.1 CAT I,APP3480.1 CAT I,APP3480.1 CAT I,APP3480.1 CAT I,,"APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II",Server Misconfiguration (WASC-14),Insufficient Authorization
wiecreated,v1,Web Server Misconfiguration: Server Error Message,signin.html,0,/signin.html,Low,Security Auditor View,Low,false,,,,false,false,NEW,Fri Dec 13 18:28:21 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,45c8aa46-38bc-9c29-02a9-6d75c46d80c0,1.0,1.0,1.0,5.0,Environment,Web Server Misconfiguration: Server Error Message,CWE ID 391,"CCI-001312,CCI-001314,CCI-003272",CM,Indirect Access to Sensitive Data,,,SI-11 Error Handling (P2),M1 Weak Server Side Controls,A7 Improper Error Handling,A6 Information Leakage and Improper Error Handling,A6 Security Misconfiguration,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.7,"Requirement 6.3.1.2,Requirement 6.5.6",Requirement 6.5.5,Requirement 6.5.5,Requirement 6.5.5,Requirement 6.5.5,Requirement 6.5.5,Control Objective 3.6 - Sensitive Data Retention,,Insecure Interaction - CWE ID 209,,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,"APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Poor Error Handling: Unhandled Exception,signin.html,0,/signin.html,Medium,Security Auditor View,Medium,false,,,,false,false,NEW,Fri Dec 13 18:28:21 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,04c10af5-acc2-babf-5a57-77eb76f45483,2.0,3.0,2.0,5.0,Errors,Poor Error Handling: Unhandled Exception,CWE ID 388,"CCI-001312,CCI-001314,CCI-003272",AU,Indirect Access to Sensitive Data,,,SI-11 Error Handling (P2),,A7 Improper Error Handling,A6 Information Leakage and Improper Error Handling,,,,Requirement 6.5.7,"Requirement 6.3.1.2,Requirement 6.5.6",Requirement 6.5.5,Requirement 6.5.5,Requirement 6.5.5,Requirement 6.5.5,Requirement 6.5.5,Control Objective 3.6 - Sensitive Data Retention,,,,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,"APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II",Information Leakage (WASC-13),Information Leakage
